compound, mp-id, spacegroup, mineral-prototype
CsPbI3,mp-1069538,Pm-3m,(Cubic) Perovskite
CsPbI3,mp-540839,Pnma,None
CaRhO3,mp-1078659,Cmcm,None
CaRhO3,mp-1181917,Pnma,Orthorhombic Perovskite
NbCl3O,mp-27815,P4_2/mnm,None
NbCl3O,mp-556422,P-42_1m,None
FeSiO3,mp-1199561,P2_1/c,None
FeSiO3,mp-18269,P-1,None
FeSiO3,mp-21939,Pbca,None
FeSiO3,mp-650392,P-1,None
CsGaSe3,mp-510283,P2_1/c,None
CdSO3,mp-18634,R-3,None
CdSO3,mp-556680,P2_1/c,None
CdSO3,mp-8516,P2_1/c,None
NaPS3,mp-1189520,P2_1/m,None
ZnGeO3,mp-1020631,R3c,Ilmenite
ZnGeO3,mp-8285,R-3,Ilmenite
ZnAgF3,mp-14099,Pm-3m,(Cubic) Perovskite
BaTcO3,mp-555174,P6_3/mmc,(Cubic) Perovskite
SrAlH3,mp-1068011,Pm-3m,(Cubic) Perovskite
ZnCO3,mp-9812,R-3c,Calcite
AsCl3O,mp-29863,P2_1/c,Indium
BaTeO3,mp-5431,P2_1/m,Potassium chlorate
BaTeO3,mp-556021,Pnma,None
CrSiTe3,mp-3779,R-3,None
BaTaSe3,mp-1078588,P6_3/mmc,None
SrZrO3,mp-1020622,P4/mbm,None
SrZrO3,mp-1068742,P4mm,Pb(Zr_(1-x)Ti_x)O3
SrZrO3,mp-1080575,Imma,Orthorhombic Perovskite
SrZrO3,mp-3323,Pm-3m,(Cubic) Perovskite
SrZrO3,mp-3626,Cmcm,Orthorhombic Perovskite
SrZrO3,mp-4387,Pnma,Orthorhombic Perovskite
SrZrO3,mp-5076,I4/mcm,None
SrZrO3,mp-557203,P2_13,None
SrZrO3,mp-613402,Pm-3m,(Cubic) Perovskite
SrZrS3,mp-5193,Pnma,Orthorhombic Perovskite
SrZrS3,mp-558760,Pnma,None
KSiO3,mp-1198795,Cmce,None
KSiO3,mp-1199261,P2_1/c,None
AlSBr3,mp-1079481,P-3m1,Silicon tetrafluoride
NaBeH3,mp-23729,Pm-3m,(Cubic) Perovskite
CsCdBr3,mp-541899,P6_3/mmc,None
CsCdBr3,mp-570231,Pm-3m,(Cubic) Perovskite
InGaS3,mp-19885,Cmc2_1,None
CdSeO3,mp-559203,P2_1/c,None
CdSeO3,mp-9186,Pnma,None
MnPbO3,mp-1106337,P2/c,None
MnPbO3,mp-510672,C2/c,None
MgGeO3,mp-3047,Cmcm,None
MgGeO3,mp-3759,R-3,Ilmenite
MgGeO3,mp-4575,Pbca,None
MgGeO3,mp-4819,C2/c,None
CsFeBr3,mp-1079847,P6_3/mmc,None
MnTlI3,mp-23443,Pnma,None
YNiO3,mp-19242,Pnma,Orthorhombic Perovskite
CaBO3,mp-1084760,P2_1/m,None
CaBO3,mp-1189809,P2_1/c,None
TlCdI3,mp-27252,Pnma,None
YAlO3,mp-3792,Pnma,Orthorhombic Perovskite
YAlO3,mp-7964,P6_3/mmc,None
CrOF3,mp-31703,P4_1,None
CsTiCl3,mp-28283,P6_3/mmc,None
HS3N,mp-27669,P2/c,Indium
HS3N,mp-696216,Pnma,Indium
HS3N,mp-706654,Pbca,Indium
