compound, mp-id, spacegroup, mineral-prototype
RbCoCl3,mp-27707,P6_3/mmc,None
FePS3,mp-5864,P-1,None
NiPS3,mp-676040,C2/m,None
BaSnS3,mp-1183370,Pnma,None
HgBrO3,mp-27994,C2/c,Indium
PCF3,mp-540785,P4_2/nmc,Indium
PCF3,mp-556383,P2_1/c,Indium
TaCuS3,mp-3102,Pnma,None
SrTcO3,mp-1079334,Imma,None
SrTcO3,mp-1188414,Pnma,None
SrTcO3,mp-12631,Pm-3m,(Cubic) Perovskite
ScBiO3,mp-550008,Pm-3m,(Cubic) Perovskite
ScBiO3,mp-555313,Cc,None
CuSiO3,mp-16053,Pmma,None
CuSiO3,mp-556982,P-1,Tungsten
CsAuSe3,mp-567913,C2/c,None
LiSbO3,mp-4995,Pnna,Ilmenite
NaZnO3,mp-1180211,P4_2/mbc,None
CaIrO3,mp-20198,Cmcm,None
CaIrO3,mp-4243,Cmcm,None
CaIrO3,mp-555735,Pnma,Orthorhombic Perovskite
InSiTe3,mp-567931,P-31m,None
AlBiO3,mp-23080,Pm-3m,(Cubic) Perovskite
AlBiO3,mp-551918,R3c,None
SrTiO3,mp-4651,I4/mcm,(Cubic) Perovskite
SrTiO3,mp-5229,Pm-3m,(Cubic) Perovskite
CaPtO3,mp-4784,Cmcm,None
BaRhO3,mp-7685,P6_3/mmc,(Cubic) Perovskite
RbPO3,mp-4135,P2_1/c,None
RbPO3,mp-548658,Cmcm,None
RbPO3,mp-616587,P2_1/c,None
RbPO3,mp-9138,Pnma,None
BaHfS3,mp-1105549,Pnma,Orthorhombic Perovskite
TlBrO3,mp-29798,R3m,Indium
GePbS3,mp-624190,P2_1/c,None
CsGeCl3,mp-22988,R3m,(Cubic) Perovskite
NaNiF3,mp-1078237,Cmcm,None
NaNiF3,mp-561480,Pnma,Orthorhombic Perovskite
BaTiS3,mp-7073,P6_3/mmc,None
ZnTeO3,mp-16819,Pbca,Antimony trioxide
TiPbO3,mp-19845,Pm-3m,(Cubic) Perovskite
TiPbO3,mp-20459,P4mm,None
BaLiH3,mp-23818,Pm-3m,(Cubic) Perovskite
BaLiH3,mp-632808,Pm-3m,(Cubic) Perovskite
KCrF3,mp-1180782,Ibam,(Cubic) Perovskite
KCrF3,mp-556365,C2/m,None
KCrF3,mp-566131,P4/mmm,(Cubic) Perovskite
SrMoO3,mp-1078716,Imma,Orthorhombic Perovskite
SrMoO3,mp-18747,Pm-3m,(Cubic) Perovskite
FeSO3,mp-540655,P1,None
CuGeO3,mp-1202570,Pbam,None
CuGeO3,mp-21344,Pmma,None
CuGeO3,mp-554874,P2_1/c,None
KCuCl3,mp-27450,P2_1/c,None
KCuCl3,mp-636978,P2_1/c,None
VCuO3,mp-1105167,Im-3,None
VCuO3,mp-504580,R-3,Ilmenite
VCuO3,mp-562987,P1,None
NbTeBr3,mp-28038,P2/c,None
CdGeO3,mp-13003,Pnma,Orthorhombic Perovskite
CdGeO3,mp-2951,C2/c,None
CdGeO3,mp-7588,I4_1/a,Esseneite
CdGeO3,mp-8275,R-3,Ilmenite
NaMnF3,mp-560242,Pnma,Orthorhombic Perovskite
CS3N,mp-29700,C2/c,Indium
FeBO3,mp-19097,R-3c,Calcite
RbPbF3,mp-21043,Pm-3m,(Cubic) Perovskite
RbPbF3,mp-605350,P-1,None
NaOsO3,mp-1105218,Pnma,Orthorhombic Perovskite
H3CBr,mp-1078197,Cmc2_1,Indium
RbCrCl3,mp-30027,C2/c,None
RbCrCl3,mp-568864,C2,None
RbCrCl3,mp-568887,C2/m,None
FeGeO3,mp-22334,C2/c,None
RbBeH3,mp-975031,P2_1/c,Calcite
CaGeO3,mp-17761,P-1,None
CaGeO3,mp-554549,I4_1/a,Esseneite
CaGeO3,mp-8130,Pnma,Orthorhombic Perovskite
CsGeBr3,mp-1068340,R3m,(Cubic) Perovskite
CsGeBr3,mp-570223,Pm-3m,(Cubic) Perovskite
TlFeI3,mp-23415,Pnma,None
SrIrO3,mp-1193907,C2/c,Orthorhombic Perovskite
MnInO3,mp-1193141,P6_3cm,None
MnInO3,mp-1193780,P-3c1,None
MnInO3,mp-550807,P6_3/mmc,None
KSO3,mp-541581,P321,None
KSO3,mp-558546,P321,None
CdCO3,mp-1198558,P2_1/c,None
CdCO3,mp-4385,R-3c,Calcite
CdCO3,mp-654812,R-3m,None
NiSeO3,mp-20460,Pnma,Orthorhombic Perovskite
NiSeO3,mp-572987,C2/c,None
KFeBr3,mp-23348,Pnma,None
RbMgF3,mp-541813,P6_3/mmc,(Cubic) Perovskite
RbMgF3,mp-8402,Pm-3m,(Cubic) Perovskite
InFeO3,mp-21094,P6_3/mmc,None
GeH3Cl,mp-28369,Cmc2_1,Silicon tetrafluoride
RbHgF3,mp-7482,Pm-3m,(Cubic) Perovskite
CrGeTe3,mp-541449,R-3,None
SbAsO3,mp-28109,P2_1/c,None
TlFeBr3,mp-504821,Pnma,None
TlFeBr3,mp-568553,P6_3cm,None
CdNF3,mp-1105795,Pnma,None
CsFeF3,mp-555302,P6_3/mmc,(Cubic) Perovskite
CsFeF3,mp-558694,Pm-3m,(Cubic) Perovskite
HgSeO3,mp-10798,P2_1/c,None
HgSeO3,mp-557224,P2_1/c,None
HgSeO3,mp-9228,Pnma,None
CsCrCl3,mp-29616,C2/m,None
CsCrCl3,mp-570326,P6_3/mmc,None
CsCrCl3,mp-610955,P6_3mc,None
CsBeH3,mp-24341,P2_1/m,Potassium chlorate
KBiO3,mp-29799,Pn-3,None
CuNCl3,mp-1105578,P2_1/c,Indium
TlPbI3,mp-27552,Cmcm,None
ScMnO3,mp-1105811,P2_1/c,Orthorhombic Perovskite
ScMnO3,mp-18954,P6_3cm,None
TlHgCl3,mp-1105094,Pnma,None
AuNCl3,mp-1189694,P2_1/c,High Pressure (4-7GPa) Tellurium
RbNiCl3,mp-23486,P6_3/mmc,None
PbSO3,mp-20507,Pnma,None
PbSO3,mp-21190,P2_1/m,Potassium chlorate
IOF3,mp-559377,P2_12_12_1,None
PCl3O,mp-27277,Pna2_1,Silicon tetrafluoride
BaBiSe3,mp-27365,P2_12_12_1,None
MgPSe3,mp-30943,R-3,None
NbTeI3,mp-540924,P2/c,None
KHgF3,mp-7483,Pm-3m,(Cubic) Perovskite
CsCaBr3,mp-30056,Pm-3m,(Cubic) Perovskite
CdTeO3,mp-28290,P2_1/c,None
RbCoF3,mp-541814,P6_3/mmc,(Cubic) Perovskite
RbMnF3,mp-558749,Pm-3m,(Cubic) Perovskite
TcO3F,mp-555390,P2_1/c,None
KCdF3,mp-10175,Pm-3m,(Cubic) Perovskite
KCdF3,mp-9628,Pnma,Orthorhombic Perovskite
CsSiTe3,mp-570957,Cc,None
RbMgCl3,mp-27208,P6_3/mmc,(Cubic) Perovskite
RbMgCl3,mp-662499,P6_3/mmc,(Cubic) Perovskite
MgVO3,mp-1079330,Cmc2_1,None
MgVO3,mp-545348,Cmmm,None
CrSbS3,mp-9130,Pnma,None
CsCoF3,mp-556943,R-3m,None
CIF3,mp-556845,Cmce,Ammonia
GaBiO3,mp-22979,Pm-3m,(Cubic) Perovskite
GaBiO3,mp-558285,Pcca,None
NaWO3,mp-19328,Pm-3m,(Cubic) Perovskite
CdNCl3,mp-1080000,Cmcm,None
CdNCl3,mp-1080587,P2_1/m,None
CdNCl3,mp-1105591,Pnma,None
YGaO3,mp-17853,P6_3cm,None
NbSeBr3,mp-23498,P2/c,None
CaRuO3,mp-20947,Pnma,Orthorhombic Perovskite
RbBrO3,mp-28872,R3m,Potassium chlorate
AgSbO3,mp-540872,Fd-3m,None
AgSbO3,mp-545999,R-3,Ilmenite
BaMnO3,mp-1205336,P6_3mc,None
BaMnO3,mp-18840,R-3m,(Cubic) Perovskite
BaMnO3,mp-19156,P6_3/mmc,None
BaMnO3,mp-35078,P6_3/mmc,(Cubic) Perovskite
BaMnO3,mp-557535,P6_3/mmc,None
MgCO3,mp-5348,R-3c,Calcite
MgCO3,mp-546079,C222_1,None
KTaTe3,mp-568318,P2_1/c,None
BaLiF3,mp-10250,Pm-3m,(Cubic) Perovskite
CsVBr3,mp-23038,P6_3/mmc,None
SrGeO3,mp-1016999,Pm-3m,(Cubic) Perovskite
SrGeO3,mp-17464,C2/c,None
SrGeO3,mp-554869,P-1,Esseneite
SrGeO3,mp-555731,P-62m,None
KPS3,mp-8267,Immm,None
CBr3F,mp-28765,Pnma,Cubane
CsBeF3,mp-1017555,Pm-3m,(Cubic) Perovskite
CsBeF3,mp-12262,Pnma,None
KFeF3,mp-556891,Pm-3m,(Cubic) Perovskite
CoCO3,mp-21434,R-3c,Calcite
BaOsO3,mp-781625,Pm-3m,(Cubic) Perovskite
MgPS3,mp-675651,C2/m,None
TeHO3,mp-625630,Pna2_1,None
MnSO3,mp-27818,P2_1/c,None
MnSO3,mp-560522,R-3,None
CdSiO3,mp-560560,P2_1/c,None
KTiCl3,mp-568270,P6_3,None
TiMnO3,mp-19082,R-3,Ilmenite
TiMnO3,mp-19376,Cc,Ilmenite
TiMnO3,mp-556925,Pnma,Orthorhombic Perovskite
MnSnO3,mp-20569,R-3,Ilmenite
TiGeS3,mp-1105715,Pnma,trigonal omega
LiMgH3,mp-23736,R3c,Calcite
InRhO3,mp-1105819,Pnma,Orthorhombic Perovskite
InRhO3,mp-1203220,P2_1/c,Spinel
CaInBr3,mp-28534,Cmcm,None
KMgH3,mp-1017580,Pm-3m,(Cubic) Perovskite
KMgH3,mp-23737,Pm-3m,(Cubic) Perovskite
RbAuBr3,mp-27300,C2/m,None
BaTiSe3,mp-1079893,P6_3/mmc,None
SNO3,mp-1198920,Pbca,Silicon tetrafluoride
WCl3O,mp-556208,P4_2/mnm,None
MnPS3,mp-8613,C2/m,None
LiCaF3,mp-1017626,Pm-3m,(Cubic) Perovskite
BaRuO3,mp-3597,P6_3/mmc,(Cubic) Perovskite
BaRuO3,mp-3598,P6_3/mmc,(Cubic) Perovskite
BaRuO3,mp-5773,R-3m,(Cubic) Perovskite
CuTeO3,mp-20977,Pnma,None
CuTeO3,mp-4320,Pnma,None
CuTeO3,mp-558696,P2_1/c,None
ZrCoH3,mp-1188065,Cmcm,Potassium chlorate
MnSeO3,mp-1199914,P2_1/c,None
MnSeO3,mp-1202364,P2_1/c,None
MnSeO3,mp-22224,Pnma,None
FePSe3,mp-2928,R-3,None
TlNO3,mp-557704,P3_1,Indium
TlNO3,mp-5915,Pnma,Indium
TlNO3,mp-662551,Pnma,None
TaFeTe3,mp-8848,P2_1/m,None
CdInBr3,mp-505222,Pnma,None
AsCF3,mp-27274,P4_2/nmc,Indium
NaCoF3,mp-1078336,Cmcm,None
NaCoF3,mp-21404,Pnma,Orthorhombic Perovskite
RbCdF3,mp-6951,Pm-3m,(Cubic) Perovskite
HfPbS3,mp-22147,Pnma,None
H3NCl,mp-1200750,Pa-3,None
KFeCl3,mp-23538,Pnma,None
VCdO3,mp-22649,Pnma,Orthorhombic Perovskite
VCdO3,mp-556857,Pnma,None
KAsO3,mp-1192552,P-1,None
KAsO3,mp-1194970,Pbcn,None
RbSnI3,mp-29405,Pnma,None
CaNbO3,mp-4957,Pnma,Orthorhombic Perovskite
CsAgF3,mp-561920,I4/mcm,(Cubic) Perovskite
YBO3,mp-29205,Cmcm,None
KZnF3,mp-5878,Pm-3m,(Cubic) Perovskite
SnPbO3,mp-504543,Fd-3m,None
CaFeO3,mp-1275341,P2_1/c,Orthorhombic Perovskite
CaFeO3,mp-19115,Pnma,Orthorhombic Perovskite
CsGaS3,mp-562726,P2_1/c,None
InBiS3,mp-1078776,P2_1/m,None
KNiCl3,mp-27366,P6_3cm,None
CrBO3,mp-19299,R-3c,Calcite
ScCrO3,mp-18961,Pnma,Orthorhombic Perovskite
KCaF3,mp-4950,Pm-3m,(Cubic) Perovskite
KCaF3,mp-5926,Pnma,Orthorhombic Perovskite
KCaF3,mp-643749,P2_1/m,Orthorhombic Perovskite
RbNiF3,mp-556488,P6_3/mmc,(Cubic) Perovskite
BaZrO3,mp-1019544,I4/mcm,(Cubic) Perovskite
BaZrO3,mp-3834,Pm-3m,(Cubic) Perovskite
YVO3,mp-18883,Pnma,Orthorhombic Perovskite
CsTeSe3,mp-9462,P2_1/c,None
CaVO3,mp-22608,Pnma,Orthorhombic Perovskite
RbGeCl3,mp-27369,P2_1/m,Potassium chlorate
SrCuO3,mp-29049,Pmmm,None
BaBiO3,mp-22942,C2/m,Orthorhombic Perovskite
BaBiO3,mp-23438,Fm-3m,(Cubic) Perovskite
BaBiO3,mp-23482,R-3,None
BaBiO3,mp-545783,Pm-3m,(Cubic) Perovskite
BaBiO3,mp-559051,P2_1/c,Orthorhombic Perovskite
CdPS3,mp-5328,C2/m,None
LiGaI3,mp-29345,P2_1/m,None
BaTaS3,mp-4001,P6_3/mmc,None
FeNCl3,mp-1080474,P6_3/mmc,None
PBr3O,mp-1189731,Pna2_1,Silicon tetrafluoride
PBr3O,mp-558645,Pnma,Silicon tetrafluoride
NbI3O,mp-546285,C2,None
BaSiO3,mp-12958,R-3m,None
BaSiO3,mp-18407,P6_3/mmc,(Cubic) Perovskite
BaSiO3,mp-7339,P2_12_12_1,None
LiPO3,mp-1202801,Pc,None
LiPO3,mp-29195,P2_1/c,None
LiPO3,mp-557189,P2/c,None
KAuI3,mp-31045,P2_1/c,Orthorhombic Perovskite
KCaH3,mp-1105914,Pnma,Orthorhombic Perovskite
KInBr3,mp-28529,P-3,None
RbVO3,mp-19031,Pbcm,None
ScBO3,mp-8697,R-3c,Calcite
SrPS3,mp-9788,P2_1/c,None
SrTiS3,mp-1080529,P6_3/mmc,None
RbMnCl3,mp-569309,P6_3/mmc,(Cubic) Perovskite
CoSeO3,mp-22616,Pnma,Orthorhombic Perovskite
CoSeO3,mp-562826,C2,None
TlPO3,mp-27144,P-42_1c,None
TlPO3,mp-556932,Pbcn,None
SrOsO3,mp-1105153,Pnma,Orthorhombic Perovskite
SrSbSe3,mp-1204655,P2_12_12_1,None
LiScI3,mp-28835,P-6c2,Ilmenite
RbSeO3,mp-1078830,P-1,None
CsIO3,mp-28295,Pmn2_1,None
CsIO3,mp-613384,Pm-3m,(Cubic) Perovskite
TaTlS3,mp-10795,Pnma,None
YInO3,mp-504607,P6_3cm,None
TcPbO3,mp-687205,Fd-3m,None
KNiF3,mp-560976,Pm-3m,(Cubic) Perovskite
CsSrF3,mp-8397,Pm-3m,(Cubic) Perovskite
RbCO3,mp-31271,P2_1/c,None
CaPSe3,mp-11007,P2_1/c,None
CaTcO3,mp-1188853,Pnma,Orthorhombic Perovskite
RbPbI3,mp-23517,Pnma,None
SnHgO3,mp-13554,R-3c,Hydrophilite
RbMgH3,mp-23738,P6_3/mmc,(Cubic) Perovskite
RbCaH3,mp-23949,Pm-3m,(Cubic) Perovskite
SrSeO3,mp-3395,P2_1/m,Potassium chlorate
SrSeO3,mp-555098,Pnma,Potassium chlorate
NaCuF3,mp-17869,P-1,Orthorhombic Perovskite
SrFeO3,mp-510624,Pm-3m,(Cubic) Perovskite
CsPdCl3,mp-29882,Ibam,None
KBeH3,mp-974757,P2_1/c,None
CsSO3,mp-1068320,R3m,None
CsSO3,mp-561681,P6_3mc,None
BiBO3,mp-31250,P2_1/c,Calcite
SrCO3,mp-3822,Pnma,None
CsSnSe3,mp-1542038,P-1,None
CsSnSe3,mp-613162,P-1,None
TaAgO3,mp-9890,R-3c,None
LiGaBr3,mp-28327,P2_1/m,None
RbSO3,mp-3404,P321,None
ZnSnO3,mp-13334,R3c,Ilmenite
ZnSnO3,mp-14628,R-3,Ilmenite
KClO3,mp-23022,P2_1/m,Potassium chlorate
KClO3,mp-550506,R3m,Potassium chlorate
KClO3,mp-556084,Pnma,Potassium chlorate
CsAuI3,mp-28453,I4/mmm,None
NaZnF3,mp-3795,Pnma,Orthorhombic Perovskite
BaPS3,mp-11006,P2_1/c,None
ReO3F,mp-573051,P2/c,None
RbIO3,mp-27193,R3m,None
PbSeO3,mp-20716,P2_1/m,Potassium chlorate
PbSeO3,mp-630329,P2_1/c,None
TiNiO3,mp-18732,R-3,Ilmenite
KSiH3,mp-28695,Pnma,None
BaSnO3,mp-3163,Pm-3m,(Cubic) Perovskite
InSbS3,mp-21365,Pnma,None
YTiO3,mp-4355,Pnma,Orthorhombic Perovskite
MnPSe3,mp-8695,R-3,None
BaNbS3,mp-35143,P6_3/mmc,None
CuNF3,mp-1080799,Pm-3m,(Cubic) Perovskite
AgPO3,mp-18702,P2_1/c,None
SrSnS3,mp-1205419,Pnma,None
NiPbO3,mp-1078668,R3c,Ilmenite
CsTiBr3,mp-22962,P6_3/mmc,None
HgTeO3,mp-28318,P-1,Antimony trioxide
NaMgH3,mp-23730,Pnma,Orthorhombic Perovskite
CsTlF3,mp-1078203,Fm-3m,None
YCrO3,mp-18725,Pnma,Orthorhombic Perovskite
MoCl3O,mp-23528,P2_1/c,None
ZrPbS3,mp-20244,Pnma,None
VAgO3,mp-559736,Cm,None
VAgO3,mp-624691,C2/c,None
TlBSe3,mp-29959,Cc,None
SnPO3,mp-1095139,Cc,None
SrCrO3,mp-20029,Pm-3m,(Cubic) Perovskite
CsVI3,mp-22991,P6_3/mmc,None
CaPbO3,mp-20079,Pnma,Orthorhombic Perovskite
InGaO3,mp-8098,P6_3/mmc,None
KTiI3,mp-640578,P6_3,None
ScRhO3,mp-1196890,P2_1/c,Ilmenite
BaZrSe3,mp-1079300,P6_3/mmc,None
RbBS3,mp-9047,P2_1/c,None
CaSnO3,mp-4190,R-3,Ilmenite
CaSnO3,mp-4438,Pnma,Orthorhombic Perovskite
CaSnO3,mp-546910,Pm-3m,(Cubic) Perovskite
CaSnO3,mp-7986,Pm-3m,(Cubic) Perovskite
CsNiF3,mp-1194078,P6_3/mmc,(Cubic) Perovskite
CsNiF3,mp-505492,R-3m,None
CsNiF3,mp-557772,P6_3/mmc,None
RbTiI3,mp-27812,P6_3cm,None
CsBrO3,mp-28873,R3m,None
HfSnS3,mp-8725,Pnma,trigonal omega
FeCO3,mp-18969,C2/c,Calcite
MgSeO3,mp-12271,Pnma,Orthorhombic Perovskite
TlFeO3,mp-505819,Pnma,Orthorhombic Perovskite
CrInO3,mp-756147,Pnma,Orthorhombic Perovskite
NClO3,mp-1070665,R3m,Ammonia
CrInBr3,mp-28532,P2_1/c,None
CCl3F,mp-23071,Pbca,Silicon tetrafluoride
KTiBr3,mp-567718,P6_3,None
CaHfS3,mp-1190098,Pnma,Orthorhombic Perovskite
MnClO3,mp-546798,Cmc2_1,Silicon tetrafluoride
H3CCl,mp-1078233,Cmc2_1,Silicon tetrafluoride
KTcCl3,mp-28408,Cc,None
CsAgCl3,mp-28610,I4/mmm,None
CuCO3,mp-27249,Cm,None
KTaO3,mp-3614,Pm-3m,(Cubic) Perovskite
KTiO3,mp-1180658,P6_3/mmc,None
CsTiI3,mp-567698,P6_3/mmc,None
CsGeI3,mp-28377,R3m,(Cubic) Perovskite
SrHfS3,mp-1208643,Pnma,Orthorhombic Perovskite
GePbO3,mp-1017566,Pm-3m,(Cubic) Perovskite
GePbO3,mp-553898,P2/c,None
GePbO3,mp-554699,R-3,None
SrBiO3,mp-29164,P2_1/c,Orthorhombic Perovskite
RbCdCl3,mp-23390,Pnma,None
CsHgCl3,mp-1197432,P2_1/c,None
CsHgCl3,mp-29845,P3_2,None
CsHgCl3,mp-570591,Pm-3m,(Cubic) Perovskite
MnInBr3,mp-28912,Pnma,None
CsVO3,mp-504651,Pbcm,None
KVO3,mp-18815,Pbcm,None
RbGeBr3,mp-28558,Pna2_1,Orthorhombic Perovskite
TlVO3,mp-22330,Pbcm,None
CsNiBr3,mp-1080570,P6_3/mmc,None
ReClO3,mp-974724,P2_1/c,Silicon tetrafluoride
CuSe3Br,mp-28741,Pmna,None
NaAsO3,mp-17868,P-1,None
RbAuI3,mp-568666,C2/m,None
KBrO3,mp-22958,R3m,Potassium chlorate
SnGeS3,mp-5045,P2_1/c,None
BaZrS3,mp-540771,Pnma,Orthorhombic Perovskite
NbCuO3,mp-17272,C2/m,None
VHgO3,mp-29188,P-1,None
CsVCl3,mp-22977,P6_3/mmc,None
RbVI3,mp-672346,P6_3cm,None
NiPSe3,mp-1079754,C2/m,None
SiPbO3,mp-21723,P2/c,None
CsMgI3,mp-29751,P6_3/mmc,None
MnCoO3,mp-20641,R-3,Ilmenite
CaCrO3,mp-20772,Pnma,Orthorhombic Perovskite
TaSnO3,mp-8074,Pm-3m,(Cubic) Perovskite
NaBiO3,mp-23054,R-3,Ilmenite
CrGaSe3,mp-8829,Pnma,None
CsNiCl3,mp-22950,P6_3/mmc,None
SiH3F,mp-28289,P2_1/c,Silicon tetrafluoride
NiCO3,mp-19147,R-3c,Calcite
NaIrO3,mp-1079568,Cmcm,None
TiHgO3,mp-7607,R-3c,Hydrophilite
RbTaO3,mp-3033,C2/m,Pb(Zr_(1-x)Ti_x)O3
PPbO3,mp-1195541,Cmc2_1,None
AlBr3N,mp-1202918,Pbca,Silicon tetrafluoride
KMgCl3,mp-27865,Pnma,Orthorhombic Perovskite
TaTlSe3,mp-12027,Pnma,None
RbCrI3,mp-27442,C2,None
HgPSe3,mp-7293,C2/c,None
KHgI3,mp-1190406,Pna2_1,None
BaCoO3,mp-18965,P-1,None
InFeBr3,mp-617426,Pnma,None
NaHgCl3,mp-608490,Pnma,None
BaVSe3,mp-27363,P6_3/mmc,None
NaCdF3,mp-4360,R3c,Ilmenite
CsMnCl3,mp-23336,R-3m,(Cubic) Perovskite
LiReO3,mp-8189,R3c,Ilmenite
RbZnF3,mp-4975,P6_3/mmc,(Cubic) Perovskite
MgTiO3,mp-3771,R-3,Ilmenite
CsBSe3,mp-573358,P2_1/c,None
CaPS3,mp-9789,P2_1/c,Zircon
TiSnO3,mp-1018639,Pm-3m,(Cubic) Perovskite
CsSnF3,mp-1105915,P2_1/c,None
RbFeF3,mp-554465,Pm-3m,(Cubic) Perovskite
SrBiSe3,mp-28476,P2_12_12_1,None
BaSbTe3,mp-18291,P2_12_12_1,None
TlGeI3,mp-29288,Pnma,None
CoPS3,mp-676437,C2/m,None
SrPbO3,mp-20489,Pnma,Orthorhombic Perovskite
NaVF3,mp-20572,Pm-3m,(Cubic) Perovskite
MgInBr3,mp-29483,Pnma,None
KPdF3,mp-9061,Pm-3m,(Cubic) Perovskite
KCoF3,mp-559946,Pm-3m,(Cubic) Perovskite
BaPSe3,mp-11008,P2_1/c,None
CaSeO3,mp-557997,P2_1/c,None
LiGaCl3,mp-29344,Pnma,None
RbVF3,mp-556424,Pm-3m,(Cubic) Perovskite
SrLiH3,mp-24419,Pm-3m,(Cubic) Perovskite
LiBrO3,mp-1197831,Pbca,None
VOF3,mp-556026,P2_1/c,Hg_xSn
KVF3,mp-557257,Pm-3m,(Cubic) Perovskite
AgAsO3,mp-558950,Pca2_1,None
GaFeO3,mp-649086,Pna2_1,None
RbMnBr3,mp-29763,P6_3/mmc,None
BrNO3,mp-29526,P2_12_12_1,None
RbTiCl3,mp-28282,P6_3/mmc,None
BaGeO3,mp-13863,P2_12_12_1,None
CsHgF3,mp-561947,Pm-3m,(Cubic) Perovskite
CsNbO3,mp-27556,P2_1/c,None
H3OF,mp-27714,Pnma,None
InBO3,mp-7027,R-3c,Calcite
AgClO3,mp-27941,I4/m,None
SrZrSe3,mp-541570,Pnma,None
ZrNiH3,mp-29658,Cmcm,Potassium chlorate
BaMoO3,mp-19322,Pm-3m,(Cubic) Perovskite
CaNiH3,mp-1207078,Pm-3m,(Cubic) Perovskite
CsMnF3,mp-558702,P6_3/mmc,(Cubic) Perovskite
NbSeCl3,mp-570270,P2/c,None
KCdCl3,mp-23442,Pnma,None
TlCdBr3,mp-28219,Pnma,None
CsCuCl3,mp-567366,P6_3mc,None
